,Lemma,TF-IDF
591,御陰,9.253938434187595e-06
592,痛み,0
593,感じ,4.795981719469187e-05
594,大勢,0
595,久しい,7.562254222887163e-06
596,振り,1.0952923344558035e-05
597,元気,4.25200082650786e-05
598,話,1.1256821755184868e-05
599,だらけ,4.712722195811431e-05
600,王国,0
601,司教,0
602,どうぞ,1.9183926877876746e-05
603,へ,0.0
604,有り難う,1.801091480829579e-05
605,御座る,1.8010914808295788e-06
606,国,1.225324404182109e-05
607,唯一,2.181989006569196e-05
608,呪い,0
609,解く,0
610,らしい,3.6021829616591576e-06
611,御伽話,0
612,実在,0
613,死神,0
614,封印,0
615,千,7.559542530718862e-05
616,年,0.0
617,経つ,2.756564418070897e-05
618,三,2.1988044265288287e-05
619,願い,2.450648808364218e-05
620,引き換え,0
621,魂,0
622,使い,0
623,契約,0
624,胸,1.857981052379895e-05
625,証し,0
626,現われる,2.3235606045829254e-05
627,付ける,3.151910091451763e-06
628,返る,0.0
629,守り神,0
630,具,1.4234101674537157e-05
631,度,0.0
632,世話,5.842067477789612e-06
633,焼かす,0
634,じゃ,2.0262279159332762e-05
635,丈,0
636,夫,0
637,可愛い,3.285877003367411e-05
638,作品,0
639,愛,7.620489548173319e-05
640,結晶,0
641,百,0
642,戦記,0
643,探す,1.9569849322096954e-05
644,危ない,2.5509738087407987e-05
645,済む,0.0
646,職業,0
647,柄,0
648,問題,0
649,部屋,9.643273513634634e-05
650,隠す,4.821636756817317e-05
651,限界,0
652,木,0
653,森,0
654,呉々,0
655,人形,0
656,宅,0
657,内密,0
658,つく,9.19010424093619e-06
659,調べる,0
660,十,0
661,世界,1.1028125089123428e-05
662,対等,0
663,強大,0
664,加護,0
665,受ける,1.642419698277667e-05
666,二,3.6263594074192647e-06
667,平和,0
668,協定,0
669,結ぶ,0
670,長い,4.8449574608671364e-05
671,支え合う,0
672,破る,0
673,対立,0
674,滅亡,0
675,歴史,0
676,書,0.00013552939122074315
677,書く,1.594500309940448e-05
678,目,0.0
679,驚く,2.756564418070897e-05
680,中々,1.0381481151454375e-05
681,大きい,1.677415656179739e-05
682,守り,0
683,主,0
684,言い伝え,0
685,因る,4.626969217093797e-06
686,嘗て,0
687,天界,0
688,大罪,0
689,犯す,0
690,地上,0
691,人々,0
692,悪しい,0
693,恐怖,4.21434215028561e-05
694,陥れる,0
695,出来事,0
696,嘆く,0
697,戒める,0
698,使わす,0
699,地,0
700,忌まわしい,0
701,像,0
702,六,0
703,台,2.5401631827244393e-05
704,何者,1.70686682008851e-05
705,属する,0
706,区域,0
707,懐かしい,0
708,珍しい,2.756564418070897e-05
709,渡す,5.190740575727188e-05
710,別名,0
711,善,0
712,起こる,0
713,口,1.4704166785497904e-05
714,利く,7.474145910831515e-06
715,確か,1.1785668074112612e-05
716,選択,5.271860747871344e-05
717,肢,0
718,新た,0
719,日常,0.00014138166587434294
720,蘇る,0
721,数多,0
722,不安,5.4243637144683884e-05
723,抱える,2.635930373935672e-05
724,軈て,0
725,辿り着く,0
726,我が,0
727,孩子,0
728,光芒,0
729,与,0
730,くそ,4.284767503921844e-06
731,がき,0
732,えっ,0.0
733,んー,0.0
734,夕食,0
735,時間,4.953001572281342e-06
736,知らせ,0
737,折角,2.7685471204955063e-05
738,用意,0
739,せめて,5.4243637144683884e-05
740,栄養,0
741,剤,0
742,休み,0.00014112884328327233
743,医務,0
744,室,0.00015657511841990872
745,おー,0.00015572221727181562
746,付け,2.268057159901702e-05
747,心配,6.940453825640696e-06
748,先程,0
749,中庭,0
750,閉門,0
751,待つ,0.0
752,放す,2.076296230290875e-05
753,てまえ,2.07641034037163e-05
754,全く,1.232203876262779e-05
755,腹,1.3560909286170971e-05
756,逃す,0
757,食いはぐれ,0
758,倒れる,0
759,面倒,2.268676266866149e-05
760,緊張,1.857981052379895e-05
761,解れる,0
762,意味,1.0952923344558035e-05
763,間に合う,0
764,仕える,0
765,質素,0
766,一杯,5.275579891416105e-05
767,食べる,8.666647556928652e-05
768,今晩は,0
769,馳走,1.857981052379895e-05
770,貴重,0
771,食材,6.570703248191326e-05
772,頂く,3.7811271114435817e-06
773,肉,0
774,有り難い,0
775,大好き,1.7815843436089587e-05
776,要る,3.613323336210867e-05
777,食い付き,0
778,旨い,9.58380792648828e-06
779,主に,0
780,穀物,0
781,野菜,0
782,魚,0
783,など,1.838020848187238e-06
784,食用,0
785,特産,0
786,品,0
787,食う,2.142383751960922e-05
788,普通,6.898162732766201e-05
789,御飯,3.114444345436313e-05
790,強化,0
791,摂取,0
792,先ず,1.3691154180697544e-06
793,小,5.8089015114573146e-05
794,センダ,0
795,自然,0
796,食,0
797,焦る,0
798,変わる,4.052455831866553e-06
799,歓迎,0
800,美味しい,0.00010446879639770854
801,あっ,0.0
802,風,3.8264607131111985e-05
803,全員,1.9132303565555992e-05
804,囲む,0
805,今頃,3.1243699305034004e-05
806,所在,0
807,掴む,1.5621849652517002e-05
808,はる,1.1343381334330745e-05
809,墜落,0
810,発見,0
811,只今,0.00010994022132644145
812,追跡,0
813,説明,6.921367801238766e-06
814,一寸,0.0
815,里帰り,0
816,文,0
817,旧,0
818,恋しい,0
819,戻る,8.159308666693346e-06
820,真面目,5.693640669814863e-05
821,遣る気,0
822,特に,2.4108183784086586e-05
823,左,0
824,勝手,2.313484608546899e-05
825,責任,0
826,申し訳,1.1617803022914627e-05
827,少年,0
828,引き取る,0
829,安住,0
830,何れ,2.2993875775887335e-05
831,召す,0
832,幾ら,1.2754869043703994e-05
833,収穫,0
834,祭,0
835,片付ける,3.71596210475979e-05
836,共,2.7197695555644488e-06
837,就寝,0
838,勤め,0
839,辛い,2.3979908597345936e-05
840,下ろし立て,0
841,靴,0
842,鳩,0
843,扮する,0
844,跪く,0
845,奇麗,1.7526202433368836e-05
846,舌,0.00011032656643895301
847,嘗める,1.225324404182109e-05
848,教わる,0
849,ちまう,6.377434521851997e-06
850,矢張り,1.035627601477008e-05
851,落ち着く,1.3978463801497827e-05
852,場合,5.842067477789612e-06
853,悲しい,1.5621849652517002e-05
854,月,6.22923102111489e-05
855,凍て付く,0
856,夜更け,0
857,座る,5.12060046026553e-05
858,おっ,0
859,家内,0
860,墓地,0
861,埋葬,0
862,二人暮らし,0
863,家,2.991746511120893e-05
864,わし,0
865,爺,1.225324404182109e-05
866,巡り会う,0
867,事情,1.857981052379895e-05
868,とぎれとぎれ,0
869,しか,4.953001572281342e-06
870,友達,0.00010209043200897671
871,叶う,0
872,思い,8.036061261362195e-06
873,抱く,6.31993444808387e-05
874,叶える,0
875,うん,5.2681925814265176e-05
876,真,3.298206639793244e-05
877,夜中,0
878,そろそろ,1.118277104119826e-05
879,終わり,2.12600041325393e-05
880,何方,9.253938434187595e-06
881,かしら,5.625242882953537e-05
882,ひょっと,0
883,自身,0
884,迷惑,4.15259246058175e-05
885,縁,0
886,救い,0
887,裏切る,0
888,欲しい,2.8751423779464845e-05
889,外,4.1935391404493476e-05
890,邪魔,4.927259094833001e-05
891,多く,0
892,能力,0
893,駆使,0
894,茶,1.4234101674537157e-05
895,与える,0
896,源,0
897,様々,0
898,形,1.438794515840756e-05
899,変換,0
900,類,4.8965242806301543e-05
901,稀,0
902,感情,0
903,絡み合う,0
904,掌,0
905,発動,0
906,憤り,0
907,遊び,0
908,値,0
909,遊ぶ,0.00011189647310810276
910,勝つ,1.607212252272439e-05
911,可哀想,5.693640669814863e-05
912,過ぎ,2.2993875775887335e-05
913,痛め付ける,0
914,認める,1.7214842016631192e-05
915,妹,0.00021379012123307506
916,読む,4.316383547522268e-05
917,感動,2.3563610979057154e-05
918,優秀,2.447020083091197e-05
919,人材,0
920,権,0
921,よし,5.1644526049893576e-05
922,にゃん,0
923,固陋,0
924,ヒサシ,0
925,景色,0
926,有,0
927,温柔,0
928,ユキカ,0
929,遠い,2.5801578848579254e-05
930,懐,0
931,しき,0
932,香り,6.550431807858696e-05
933,枝,0
934,自己,0
935,道路,0
936,紡ぐ,0
937,道,5.842067477789612e-06
938,在,0
939,偏,0
940,狂う,4.063227917994225e-05
941,眼前,0
942,一切,3.159967224041935e-05
943,都,0
944,看,0
945,見える,6.3461289629837135e-06
946,灯火,0
