,Lemma,TF-IDF
685,因る,2.21832992684114e-05
686,嘗て,3.203594969074981e-05
687,天界,0
688,大罪,0
689,犯す,0.00011406400755597827
690,地上,0
691,人々,0
692,悪しい,5.105232137240753e-05
693,恐怖,0
694,陥れる,0
695,出来事,2.281280151119565e-05
696,嘆く,0
697,戒める,0
698,使わす,0
699,地,6.389550164988064e-06
700,忌まわしい,0
701,像,0
702,六,1.881396925740183e-05
703,台,1.4041005099393523e-05
704,何者,1.747394164375704e-05
705,属する,0
706,区域,0
707,懐かしい,2.5362026868447004e-05
708,珍しい,2.066549728220929e-05
709,渡す,6.684035793736107e-05
710,別名,5.456356945702872e-05
711,善,0
712,起こる,1.6767186182295445e-05
713,口,6.919982518259677e-06
714,利く,1.869581265680861e-05
715,確か,9.629727926202998e-06
716,選択,0
717,肢,0
718,新た,4.5012399250496096e-05
719,日常,0
720,蘇る,0
721,数多,0.00031858388066775855
722,不安,1.4721550156722083e-05
723,抱える,1.550438318274301e-05
724,軈て,0
725,辿り着く,5.43076851772324e-05
726,我が,7.031561147512701e-05
727,孩子,0
728,光芒,0
729,与,0
730,くそ,2.410460143553317e-06
731,がき,0
732,えっ,0.0
733,んー,0.0
734,夕食,3.099543403821089e-05
735,時間,6.153690061994714e-06
736,知らせ,0
737,折角,2.578452205845467e-05
738,用意,6.716286616718021e-05
739,せめて,1.5391429510092107e-05
740,栄養,0
741,剤,8.83439106777843e-05
742,休み,1.1824937120870899e-05
743,医務,0
744,室,1.747394164375704e-05
745,おー,6.345078153272262e-05
746,付け,3.9371274384020455e-05
747,心配,1.949435027781283e-05
748,先程,4.5012399250496096e-05
749,中庭,0
750,閉門,0
751,待つ,0.0
752,放す,8.506954646573225e-05
753,てまえ,1.6065074772695772e-05
754,全く,1.5223961540171288e-05
755,腹,6.389550164988064e-06
756,逃す,0
757,食いはぐれ,0
758,倒れる,0
759,面倒,7.231380430659952e-06
760,緊張,0
761,解れる,0
762,意味,1.3147966784693386e-05
763,間に合う,5.464962409834273e-06
764,仕える,0
765,質素,0
766,一杯,1.465496536754216e-05
767,食べる,1.8327284589366087e-05
768,今晩は,0
769,馳走,3.182461001712218e-05
770,貴重,0.0003588515569575148
771,食材,3.616180835876321e-05
772,頂く,3.807254102518349e-05
773,肉,2.3649874241741798e-05
774,有り難い,1.819390824990639e-05
775,大好き,5.9026552577678276e-05
776,要る,1.2688120100330366e-05
777,食い付き,0
778,旨い,3.668467781410666e-06
779,主に,3.616180835876321e-05
780,穀物,0
781,野菜,2.8853390030310562e-05
782,魚,2.3649874241741798e-05
783,など,6.498116759270945e-06
784,食用,0
785,特産,0
786,品,3.353437236459089e-05
787,食う,2.586451602210544e-05
788,普通,1.8206388595242578e-05
789,御飯,6.389550164988064e-06
790,強化,0
791,摂取,0
792,先ず,8.303979021911612e-06
793,小,3.278977445900564e-05
794,センダ,0
795,自然,1.6767186182295445e-05
796,食,7.288540741637641e-05
797,焦る,0
798,変わる,4.786203381551444e-06
799,歓迎,0
800,美味しい,3.739162531361722e-05
801,あっ,0.0
802,風,1.1217487594085165e-05
803,全員,2.2376426814055426e-05
804,囲む,1.881396925740183e-05
805,今頃,1.819390824990639e-05
806,所在,0
807,掴む,9.221952400262495e-05
808,はる,7.231380430659952e-06
809,墜落,0
810,発見,4.564303551508968e-05
811,只今,6.0763961761237325e-06
812,追跡,0
813,説明,1.4956650125446886e-05
814,一寸,0.0
815,里帰り,0
816,文,0.0005381036297485745
817,旧,0
818,恋しい,0
819,戻る,5.5027016721159995e-06
820,真面目,2.621091246563556e-05
821,遣る気,0
822,特に,9.165474707726547e-06
823,左,1.7088169378929278e-05
824,勝手,1.5507702344848227e-05
825,責任,8.594840686151555e-06
826,申し訳,1.3415760973258192e-05
827,少年,0
828,引き取る,4.56256030223913e-05
829,安住,0
830,何れ,1.7243010681403625e-05
831,召す,0
832,幾ら,1.917979441204751e-05
833,収穫,0
834,祭,0
835,片付ける,0
836,共,1.4215312652966332e-05
837,就寝,6.440132821997509e-05
838,勤め,0
839,辛い,1.3344839989036758e-05
840,下ろし立て,0
841,靴,2.6030020281791054e-05
842,鳩,0
843,扮する,0
844,跪く,0
845,奇麗,2.148710171537889e-05
846,舌,2.8853390030310562e-05
847,嘗める,0
848,教わる,1.6017974845374904e-05
849,ちまう,8.499879913174452e-05
850,矢張り,7.521176742437984e-06
851,落ち着く,2.1146866833883946e-05
852,場合,1.5983162010039593e-05
853,悲しい,2.83913839908843e-05
854,月,3.0081942401530445e-05
855,凍て付く,0
856,夜更け,0
857,座る,3.065738571375082e-05
858,おっ,0.0002896430077212164
859,家内,0
860,墓地,0
861,埋葬,0
862,二人暮らし,0
863,家,9.629727926202998e-06
864,わし,0.0001650454639184857
865,爺,6.926143279541447e-05
866,巡り会う,0
867,事情,4.087651428500109e-05
868,とぎれとぎれ,0
869,しか,6.83743340221635e-06
870,友達,2.855440576888762e-05
871,叶う,0
872,思い,9.74469001305309e-06
873,抱く,1.7088169378929278e-05
874,叶える,0
875,うん,1.3902781251173243e-05
876,真,4.614602293288918e-05
877,夜中,2.6925928141875656e-05
878,そろそろ,9.340336534067957e-06
879,終わり,8.006903993422054e-06
880,何方,3.0356093735720864e-05
881,かしら,5.846814007831855e-05
882,ひょっと,1.8221351854094103e-05
883,自身,4.861116940898986e-05
884,迷惑,3.64583770567424e-05
885,縁,0
886,救い,7.540662904967996e-05
887,裏切る,2.71538425886162e-05
888,欲しい,1.2381078762261e-05
889,外,9.930757415586862e-06
890,邪魔,1.8206388595242578e-05
891,多く,2.5362026868447004e-05
892,能力,0
893,駆使,0
894,茶,8.383593091147723e-06
895,与える,1.3415760973258192e-05
896,源,0
897,様々,4.277117944401011e-05
898,形,2.6689679978073516e-06
899,変換,9.102396590507387e-05
900,類,2.8853390030310562e-05
901,稀,0
902,感情,9.837758762946378e-06
903,絡み合う,0
904,掌,0
905,発動,0
906,憤り,0
907,遊び,0
908,値,0
909,遊ぶ,5.846814007831855e-05
910,勝つ,1.204880607952183e-05
911,可哀想,4.548477062476597e-05
912,過ぎ,3.310252471862287e-06
